1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51
197005579,238970412,230788214,237453966,217984053,197005579,238970412,230788214,237453966,217984053,197173362,238969111,230806401,237510980,217946409,184080717,238217704,257451513,262550433,261338328,184181014,238062216,257515674,262599238,261272963,361263911,251602386,181051382,222405416,335364029,361263911,251602386,181051382,222405416,335364029,361267500,251602337,181050713,222404172,335368659,377714815,265346118,141055231,72782377,77001550,377715882,265347232,141054882,72782228,77000659,0
19854969,32863113,61785540,42414541,22294372,19854969,32863113,61785540,42414541,22294372,19951232,32791575,61757043,42485371,22166459,18946402,30612084,95049134,90081570,88713436,18986511,30551142,95163233,90026436,88670286,195538761,184625179,164354172,178760195,193636020,195538761,184625179,164354172,178760195,193636020,195548774,184644559,164372413,178779939,193650211,196724656,186638250,134895460,69671578,73710858,196723383,186640360,134895323,69671248,73710992,0
15244110,46484910,95353548,60466015,20103703,15244110,46484910,95353548,60466015,20103703,15237934,46600583,95585665,60471517,20087278,13493727,42649302,96232056,106718849,107388469,13507120,42671947,96246767,106756637,107261650,225475456,206496232,169681414,195783887,223035521,225475456,206496232,169681414,195783887,223035521,225478678,206504569,169692575,195793069,223041370,226778111,210441342,132503750,68369637,72332313,226780404,210442175,132503675,68368903,72332426,0
30653120,59658053,179528222,81395395,37858848,30653120,59658053,179528222,81395395,37858848,30596471,59700444,179576462,81322940,37824646,27250151,55509310,207740742,223232046,221350391,27224430,55442670,207675001,223092151,221534792,465279100,437609611,376568958,423858223,460274314,465279100,437609611,376568958,423858223,460274314,465282787,437617038,376572488,423863654,460280284,468246227,442537246,297216894,153407958,162300571,468249128,442546098,297216819,153407991,162300584,0
29547548,45671940,146873546,67407766,30410587,29547548,45671940,146873546,67407766,30410587,29620925,45746742,147021156,67373560,30433063,28416071,39126028,144662683,151425797,150831869,28371435,39203833,144374358,151464238,150523508,301113464,285426306,236587780,274646850,298091469,301113464,285426306,236587780,274646850,298091469,301115739,285425436,236586136,274645544,298093237,303175401,288649254,184399765,95145361,100661291,303177471,288649187,184399790,95145756,100660750,0
11566135,31140631,67202700,40400012,12967179,11566135,31140631,67202700,40400012,12967179,11532544,31168202,67187806,40377525,12961940,10829295,25632146,83258390,90415217,90250589,10848561,25637600,83273376,90313348,90065947,192952507,182357673,157738312,174857572,191421301,192952507,182357673,157738312,174857572,191421301,192951948,182361044,157741018,174863689,191420708,193913867,184960206,125060624,64528721,68269071,193909947,184952648,125060928,64528220,68269913,0
13211158,23937171,38738759,27495824,16071282,13211158,23937171,38738759,27495824,16071282,13214724,23955919,38712097,27534201,16142263,12247654,23350794,41872637,45313333,45114078,12151668,23389294,41884096,45309450,45038145,82740524,72807001,59642769,68765068,81019512,82740524,72807001,59642769,68765068,81019512,82744794,72809475,59646295,68765651,81023807,83735820,74420050,46570357,24030123,25422982,83737352,74421320,46571142,24030200,25423099,0
10265884,25419485,50543834,32464882,11872993,10265884,25419485,50543834,32464882,11872993,10223558,25476265,50619807,32487408,11903966,9617696,22690154,59701713,64038869,63373484,9647549,22635664,59652868,63890091,63345565,133247236,124006367,105336886,118483630,131983707,133247236,124006367,105336886,118483630,131983707,133250998,124016409,105335817,118491442,131989114,134000030,125997370,83031533,42842801,45326640,133997309,125997004,83032370,42842945,45326669,0
10540913,28566014,65258916,35233308,12697482,10540913,28566014,65258916,35233308,12697482,10509950,28572066,65408933,35238573,12672213,9377997,25932122,72307596,80503011,80641566,9349599,25890073,72351965,80492798,80571517,169873269,158133732,134706834,151661606,168174270,169873269,158133732,134706834,151661606,168174270,169871042,158137026,134705453,151669115,168172813,170893043,160646132,105387058,54377065,57529040,170893491,160645917,105386937,54377264,57529309,0
296842930,398642446,736449511,529080847,315777468,296842930,398642446,736449511,529080847,315777468,296060914,399023889,735768744,529392931,315861225,289991915,361721735,748180450,749791864,755847385,290069430,361804194,747993694,749541107,755774263,1335942196,1203209200,965010285,1137255045,1306374288,1335942196,1203209200,965010285,1137255045,1306374288,1335941836,1203206727,965004662,1137245605,1306376411,1355516047,1224584765,755164948,389723916,412311769,1355517414,1224591130,755159266,389725181,412311501,0
39545200,66052061,195191502,83717841,44912943,39545200,66052061,195191502,83717841,44912943,39534247,66101094,195065230,83752715,44800852,34973518,61609428,296198102,310963248,297079940,35018208,61517934,296028819,311057086,296988997,661991846,630955895,574663004,616772509,656115795,661991846,630955895,574663004,616772509,656115795,661997977,630968346,574673298,616783805,656123290,665632152,636234746,455478916,235030122,248653076,665632636,636236240,455479017,235029852,248652895,0
5708250,16155076,38002168,19501253,7212817,5708250,16155076,38002168,19501253,7212817,5691983,16188555,38050488,19510569,7213834,5058371,15004516,56997930,59460390,57461395,5053706,14993447,56918782,59550922,57395015,127381834,120073670,106358164,116475125,126388791,127381834,120073670,106358164,116475125,126388791,127377681,120072425,106356916,116475751,126385006,127935023,121510368,84493712,43596912,46123841,127935886,121509087,84493602,43596458,46123955,0
338908554,446615288,562315711,480719030,365475421,338908554,446615288,562315711,480719030,365475421,338713508,446881927,562413709,480980120,365178673,321957691,431620110,578771954,605764378,600965813,321689646,431876988,578624628,606112706,601088161,1004195840,825147972,642203915,758385486,966400479,1004195840,825147972,642203915,758385486,966400479,1004198830,825156865,642208555,758390998,966404731,1028698957,852876250,504950088,260711506,275816307,1028694656,852871150,504937262,260712236,275817509,0
13719958,52836873,76991042,73029039,16356244,13719958,52836873,76991042,73029039,16356244,13744523,52766423,77081621,73037912,16435494,12523277,42245342,68280504,78253530,79528779,12486774,42245324,68063539,78216814,79448794,172667194,156252037,118129308,142261625,171039412,172667194,156252037,118129308,142261625,171039412,172665279,156235483,118126343,142256612,171032250,173582981,160860702,93340000,48165142,50956705,173573998,160839702,93339239,48165320,50956918,0
929982,3275939,4520654,4383631,1198196,929982,3275939,4520654,4383631,1198196,935203,3294468,4496494,4356780,1211736,784644,2633447,3869637,4598952,4787599,792529,2625389,3916416,4635081,4817291,9840702,8624553,6354342,7772469,9681054,9840702,8624553,6354342,7772469,9681054,9841627,8618232,6353272,7767020,9682328,9930186,8925897,4952959,2555674,2703813,9930353,8930575,4953044,2555767,2703767,0
19560897,29385384,90734080,43814158,20743500,19560897,29385384,90734080,43814158,20743500,19532696,29548468,90734688,43740533,20786566,18552334,26838920,113469820,121424470,120264013,18592929,26898026,113484903,121254487,120337038,245514403,231379732,200760476,224355932,242519372,245514403,231379732,200760476,224355932,242519372,245514362,231377426,200757804,224352553,242519322,247434266,233635900,157423300,81226564,85935645,247435153,233635144,157423493,81226291,85935450,0
45834801,71222465,99721383,80410002,51614452,45834801,71222465,99721383,80410002,51614452,45827757,71236522,99884196,80369568,51517009,42457338,67118202,236593660,176610696,156845028,42476126,67136673,236483359,176631494,156753113,525890059,490155325,451062227,476418370,518648044,525890059,490155325,451062227,476418370,518648044,525892029,490157410,451064398,476421258,518649283,530491958,495713794,395163436,203906884,215708628,530489606,495711557,395163099,203907032,215709213,0
1577271,2498082,5726410,3317531,1769279,1577271,2498082,5726410,3317531,1769279,1560652,2490876,5712145,3313137,1783835,1393484,2250686,5987562,6599364,6690928,1400247,2268872,6010284,6603601,6705969,13065061,11936764,9948082,11369311,12844001,13065061,11936764,9948082,11369311,12844001,13066486,11936170,9947273,11368135,12845527,13212568,12138986,7756626,4002130,4234238,13214097,12140454,7756494,4002169,4234261,0
6464525,17019597,27166489,25528233,7359929,6464525,17019597,27166489,25528233,7359929,6485492,16965305,27178289,25455679,7374942,6099485,14377214,25365156,28852213,28668045,6062174,14408870,25380463,28868525,28743132,56275215,50168593,37419483,45667985,55418833,56275215,50168593,37419483,45667985,55418833,56275482,50168045,37418775,45668209,55418898,56816403,51543062,29152240,15042095,15913921,56814962,51540520,29152401,15041613,15914128,0
4968330,8728693,18222064,11633427,5335730,4968330,8728693,18222064,11633427,5335730,4969968,8731535,18177864,11562816,5336548,4775406,7705675,20098558,21352143,21399752,4752745,7752083,20052810,21293557,21384012,43580784,40450167,34051424,38619951,43061380,43580784,40450167,34051424,38619951,43061380,43582150,40452765,34070530,38627308,43062552,43919520,41086703,26798042,13828423,14630128,43919737,41088051,26798810,13828663,14630208,0
2242367,8135576,21076191,10690080,3062517,2242367,8135576,21076191,10690080,3062517,2237383,8163825,21132035,10668381,3060257,1683559,6779301,21883724,24409141,24281984,1696520,6775101,21863953,24375512,24225669,52835433,49636640,41916281,47602196,52400791,52835433,49636640,41916281,47602196,52400791,52835427,49639347,41917517,47604923,52401159,53058143,50375443,32800350,16924027,17905240,53058104,50375365,32800823,16924262,17904999,0
86108692,142492038,401444611,227127141,91594714,86108692,142492038,401444611,227127141,91594714,86221933,142323309,401644829,226754054,91460324,80000950,126134151,402898637,444232965,436348429,79949222,126185589,402904847,443504624,436111096,854221924,790883380,633540817,753347125,841698676,854221924,790883380,633540817,753347125,841698676,854216091,790914131,633684589,753456306,841693164,862312552,802170993,494953011,255419987,270227421,862296844,802126779,494953715,255420448,270227326,0
16831128,28661316,48080672,34335148,20086052,16831128,28661316,48080672,34335148,20086052,16877641,28736157,48111558,34260332,20163860,14879029,26685548,68048214,70528100,67147216,14930713,26672397,68116425,70506779,67291421,143520316,130754968,112689136,125052082,141100252,143520316,130754968,112689136,125052082,141100252,143511699,130749621,112691150,125051150,141089732,144938697,132942038,90569370,46735172,49443884,144935695,132945959,90569389,46735593,49444475,0
24813483,54793289,128412402,80003671,28326065,24813483,54793289,128412402,80003671,28326065,24830343,54771319,128437691,80071235,28449880,22576408,48880211,143776316,156746045,156535454,22642277,48879204,143669186,156679043,156555051,320606977,299003611,249344700,285340989,317167569,320606977,299003611,249344700,285340989,317167569,320607283,299006117,249348401,285343807,317168220,322719928,303400019,195247294,100789845,106633644,322719737,303398854,195249554,100789485,106633739,0
14750302,31824710,52073251,38704074,18389200,14750302,31824710,52073251,38704074,18389200,14817413,31876475,52008963,38684189,18448934,12881628,28810555,60015438,65063588,62094767,12922198,28802500,59862948,65063603,62172093,124641284,112126258,91620121,105770236,122556012,124641284,112126258,91620121,105770236,122556012,124646489,112132917,91623023,105774395,122559604,125783174,114466179,72222282,37265182,39425035,125781766,114465916,72222462,37264995,39425075,0
30659562,42412145,38612361,41412701,36478264,30659562,42412145,38612361,41412701,36478264,30700026,42413794,38634432,41495814,36481139,27937889,42896156,43972080,44337490,42845415,27948773,42880836,44038570,44290250,42992645,70079298,49899667,35906855,44108875,65892040,70079298,49899667,35906855,44108875,65892040,70082530,49900530,35906848,44109326,65895097,72508515,52618934,27974322,14434066,15270515,72508765,52618436,27974114,14433892,15270389,0
89867933,136463648,185453648,150670384,104368319,89867933,136463648,185453648,150670384,104368319,89721795,136818578,185411247,150646514,104392581,77960925,130561114,202313430,209696576,208080610,77999217,130493528,202388448,209749589,208083905,376534597,321132796,253187426,298959886,365157221,376534597,321132796,253187426,298959886,365157221,376528725,321130318,253185169,298952126,365154373,383119863,329812214,198395312,102366148,108301758,383118619,329809062,198395792,102366821,108301247,0
2777093,4284064,13043872,5950367,2969816,2777093,4284064,13043872,5950367,2969816,2769570,4255778,13013049,5925387,2967507,2624072,3871368,26965552,25283319,21959118,2638065,3883376,27002380,25316345,21968663,58614767,57203132,53373190,56372019,58351166,58614767,57203132,53373190,56372019,58351166,58614184,57203726,53375011,56372515,58350879,58790522,57471422,44716854,23086975,24425530,58789451,57472582,44715670,23087205,24425815,0
21442606,46700091,112703981,57026989,24877938,21442606,46700091,112703981,57026989,24877938,21406571,46759111,112810048,57153233,24826620,19652647,42773030,242275699,237358087,204926609,19633050,42980736,242606325,237464293,205293542,533719022,516580943,480827331,507491833,531066294,533719022,516580943,480827331,507491833,531066294,533747201,516595087,480762934,507494603,531097856,535313589,520047960,398585029,205768211,217697637,535382652,520006974,398577507,205768159,217697982,0
1921274,2924422,9210047,3874042,2025275,1921274,2924422,9210047,3874042,2025275,1942658,2925831,9253300,3844746,2030324,1853544,2694605,10973048,11666752,11423223,1855022,2675321,10930209,11666908,11437748,23179408,22053366,19322603,21508040,22950913,23179408,22053366,19322603,21508040,22950913,23177876,22052525,19321638,21507062,22949144,23334344,22246371,15126006,7804580,8257007,23333544,22245625,15125817,7804642,8257010,0
4939512,9749277,18870507,12784548,6204745,4939512,9749277,18870507,12784548,6204745,4925175,9757736,18898416,12765861,6233940,4318622,8672675,20045306,21648692,21515580,4318565,8643495,20013360,21633901,21470124,41989226,37846681,30778791,35766072,41222193,41989226,37846681,30778791,35766072,41222193,41986435,37846944,30780244,35767239,41219880,42416668,38576303,24011416,12389348,13107366,42417633,38577889,24011398,12389271,13107278,0
5321115,13335894,38262697,18278935,5937462,5321115,13335894,38262697,18278935,5937462,5331202,13286154,38254755,18305212,5916090,5143106,11413135,43577648,46782873,45517713,5130923,11368279,43552798,46868346,45551179,97231107,92761626,79976945,89689937,96615502,97231107,92761626,79976945,89689937,96615502,97232742,92762432,79970591,89685248,96617208,97612656,93787499,62966442,32490057,34373353,97613277,93795615,62967056,32490086,34373291,0
222677,500986,1091876,646943,261664,222677,500986,1091876,646943,261664,225407,497391,1072524,649039,263225,198256,440992,1529254,1612054,1512427,193646,439339,1533708,1616495,1521117,3444289,3247564,2843534,3133963,3412760,3444289,3247564,2843534,3133963,3412760,3440273,3244265,2840320,3130253,3408739,3462384,3290904,2292552,1183216,1251759,3463440,3291739,2292868,1183371,1251895,0
36096841,70935114,122732674,85587596,42572557,36096841,70935114,122732674,85587596,42572557,36061814,70880347,122837339,85609411,42706429,31926317,65000057,122103955,127530472,127982195,31862065,64960358,122037587,127523738,128194307,252780373,225695228,180001078,211816984,248283725,252780373,225695228,180001078,211816984,248283725,252780086,225692941,180003123,211813927,248282693,255331721,230759405,140276309,72379184,76574949,255333283,230760004,140275591,72379042,76574261,0
14740114,59409454,71412943,66357316,21808882,14740114,59409454,71412943,66357316,21808882,14734753,59511421,71419869,66385841,21862915,11591864,54725921,67386274,76710412,75536531,11575612,54712796,67359261,76907387,75555130,167481956,142320542,107375103,129377178,164596740,167481956,142320542,107375103,129377178,164596740,167528761,142358701,107393947,129401471,164648375,168910454,147675835,83916298,43298772,45809319,168899036,147649000,83916385,43298599,45809168,0
73867466,216287744,264236852,257247088,93675332,73867466,216287744,264236852,257247088,93675332,73897875,216104153,264207619,256971034,93738098,63365026,193708314,239894978,271031955,274674821,63518837,193849107,240025692,270894363,274426340,572649738,486516892,359883544,438801350,561102594,572649738,486516892,359883544,438801350,561102594,572648923,486523121,359946165,438853042,561101600,578973596,504845708,280881656,144933727,153335461,578972817,504833597,280878910,144933233,153334940,0
2157200,3405649,8445011,4199230,2504649,2157200,3405649,8445011,4199230,2504649,2148185,3424155,8438208,4170117,2510842,2001337,3205596,13290649,13743809,13055147,2023942,3227761,13296817,13752565,13067247,27944940,26539725,23973231,25925666,27658571,27944940,26539725,23973231,25925666,27658571,27945303,26541149,23975166,25926777,27658920,28123679,26768346,19175727,9894281,10467835,28124898,26768595,19175881,9894385,10467857,0
